feature,importance_gain,importance_split
bureau_sum_AMT_MAX_OVERDUE_RATIO,283.641011484464,39.666666666666664
prev_approved_AMT_CREDIT_GOODS_PERC_MEAN,271.9869592443109,39.53333333333334
prev_recent_PRODUCT_COMBINATION_mean_encode,270.1199950079123,39.533333333333324
prev_approved_AMT_DIFF_CREDIT_GOODS_MAX,321.033957022801,39.33333333333333
prev_recent_SELLERPLACE_AREA,252.06762910683952,39.06666666666666
prev_NAME_GOODS_CATEGORY_mode_mean_encode,223.25004216035208,38.733333333333334
pos_recent_CNT_INSTALMENT_FUTURE,536.7121182600657,38.733333333333334
pos_MONTH_MAX,277.288024203976,38.733333333333334
prev_approved_AMT_DIFF_CREDIT_GOODS_MEAN,267.5304680059974,38.666666666666664
bureau_sum_AMT_CREDIT_SUM_DEBT,315.1222824220856,38.6
inst_DAYS_LAST_UNDERPAID,288.21142582098645,38.46666666666666
prev_max_AMT_DIFF_CREDIT_GOODS,372.63933191833394,38.06666666666666
prev_approved_DAYS_DECISION_MIN,288.38620806237066,38.0
gender_family_status_mean_income_rel,254.18796332056326,38.0
prev_approved_RATE_DOWN_PAYMENT_MEAN,249.49309481916325,37.93333333333334
pos_recent_MONTHS_BALANCE,707.5226313879093,37.8
prev_approved_CNT_PAYMENT_MEAN,342.3381066977978,37.66666666666667
prev_sum_AMT_ANNUITY,317.9885944783688,37.6
inst_var_DPD,326.3135091783479,37.4
prev_approved_AMT_DIFF_CREAPP_MAX,286.0618290985624,37.13333333333334
prev_approved_AMT_PAY_YEAR_MAX,283.66583988790705,37.06666666666667
prev_approved_APP_CREDIT_PERC_MEAN,257.55587527255216,37.06666666666666
prev_refused_DAYS_DECISION_MEAN,266.55282311042146,36.66666666666667
bureau_sum_AMT_CREDIT_MAX_OVERDUE,304.51994036833446,36.46666666666667
prev_max_AMT_DOWN_PAYMENT,258.4876994200051,36.26666666666667
prev_recent_DAYS_FIRST_DUE,243.30376371120414,36.2
NEW_INC_BY_ORG,306.2879152655602,35.6
prev_sum_AMT_DIFF_CREAPP,294.7669514169296,35.2
REGION_RATING_CLIENT_W_CITY,351.6410481770833,34.6
prev_max_AMT_CREDIT_GOODS_PERC,246.58323746919632,34.53333333333333
bureau_active_sum_AMT_CREDIT_MAX_OVERDUE,322.99151958227156,34.53333333333333
prev_NAME_TYPE_SUITE_mode_mean_encode,228.07060279076296,34.2
prev_recent_CHANNEL_TYPE_mean_encode,230.94302124281722,34.06666666666666
prev_NAME_SELLER_INDUSTRY_mode_mean_encode,240.4419112586727,33.86666666666667
